order_id;client_id;order_date;KUPON
001462414;0523933015;29.06.2019;
001538139;0814107372;15.08.2019;
001838871;0713139458;19.08.2019;
001896544;0123641536;05.05.2019;15%
001943852;0602252913;30.07.2019;
002143538;0563294140;08.04.2019;40%
002147738;0179490372;09.07.2019;
002267798;0071578908;24.08.2019;
002355075;0795310184;07.04.2019;
002600427;0502362450;14.07.2019;
002704650;0165729142;13.07.2019;
002982733;0491856129;23.04.2019;
003235572;0151950836;25.05.2019;
003324704;0584004063;19.05.2019;
003738267;0120461593;19.04.2019;
003985332;0874029236;27.05.2019;
004009347;0304520508;23.04.2019;
004134505;0301586287;03.07.2019;
004233304;0195315557;23.05.2019;
004262313;0891909746;28.04.2019;
004498961;0709784499;16.07.2019;
004534298;0095008059;21.08.2019;
004858291;0608560296;31.03.2019;
004932443;0314452019;31.03.2019;20%
005045375;0936096184;08.03.2019;
005231560;0649526055;19.07.2019;5%
006074529;0849773609;08.07.2019;30%
006414947;0870031951;18.07.2019;
006559574;0541416781;12.08.2019;
006730314;0323008846;03.04.2019;
006751465;0732869041;03.04.2019;
006902112;0762657871;03.07.2019;
007284199;0888609661;21.04.2019;
007556840;0504653830;31.05.2019;
007643295;0380338614;01.07.2019;20%
007652962;0886491932;27.06.2019;
007667701;0216296378;16.04.2019;
007760735;0432992730;25.07.2019;33%
007888054;0243374568;17.05.2019;
007925809;0150252677;30.03.2019;
007963216;0004625544;23.07.2019;
008087162;0397524043;29.07.2019;
008360991;0482520718;22.06.2019;
008491185;0560082186;06.06.2019;22%
008498697;0782072858;03.04.2019;47%
008526443;0322183155;31.03.2019;
008612128;0387896900;29.04.2019;
008769369;0292592441;06.03.2019;
009036654;0888519241;20.05.2019;
009055907;0043679937;22.03.2019;
009078801;0353358001;22.04.2019;
009363935;0841135002;18.05.2019;
009640106;0260745439;17.06.2019;
009664011;0851827098;03.08.2019;
010475398;0095038940;16.03.2019;
010530107;0806458395;28.04.2019;
010561804;0744940935;30.08.2019;
010563579;0035822584;21.06.2019;
010586001;0728442083;30.03.2019;
10789983;0723008109;30.06.2019;
010829690;0072040159;11.07.2019;
010855809;0919895136;01.05.2019;
010856212;0089597320;06.03.2019;
011014044;0774967276;19.08.2019;
011433195;0386963273;14.05.2019;
012070864;0000713722;04.03.2019;
012265890;0043659603;02.08.2019;
012524947;0836393971;18.06.2019;
012672557;0179487363;07.07.2019;
013534905;0108269367;06.03.2019;
013582448;0416133297;11.04.2019;
